artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
ATEEZ (에이티즈),0.04143760423613103,0.5510626598147152,0.013937904508869026,112,10,2013,2026,0.216,1.0,0.784
After School (애프터스쿨),0.00020385087981852418,0.0006076143351708146,0.9581658536711641,51,7,2011,2024,0.3379230769230769,0.3,-0.03792307692307689
Ailee (에일리),0.007270146520146521,0.030518826009108543,0.5681152142316964,54,13,2012,2024,0.23675000000000002,0.028,-0.20875000000000002
AleXa (알렉사),0.12160892857142858,0.6166039639650935,0.21475865877738348,17,4,2019,2022,0.571,1.0,0.42900000000000005
Apink (에이핑크),0.010675035226211698,0.1567269013940038,0.1440916388707847,129,15,2011,2025,0.20544444444444443,0.0455,-0.15994444444444444
B.A.P (비에이피),0.007027159837078592,0.05716516573961918,0.4314508732430168,80,13,2011,2024,0.439,0.265,-0.174
B1A4 (비원에이포),-0.017606539456969526,0.30889582220310285,0.048591674696217946,77,13,2011,2024,0.3947777777777778,0.312,-0.08277777777777778
BAE173 (비에이이173),0.1611,0.7985467733482774,0.2963221075978681,15,3,2020,2022,0.2738,0.596,0.3222
BDC (비디씨),0.006739393939393945,0.004655289228399815,0.9317703200329958,19,4,2019,2022,0.0,0.031,0.031
BIGBANG (빅뱅),-0.013242660891321931,0.16146126014837978,0.17350874795832325,114,13,2010,2024,0.48933333333333334,0.07925,-0.41008333333333336
BLACKPINK (블랙핑크),0.056010453783153585,0.7478817509273726,0.0002822616420547755,80,12,2012,2025,0.187,0.9365,0.7495
BLACKSWAN (블랙스완),0.06595833333333334,0.2855079471979861,0.3535952159026694,15,5,2020,2024,0.5933333333333334,0.802,0.20866666666666667
BOL4/Bolbbalgan4(볼빨간사춘기),-0.003960565780504433,0.011216403523315854,0.7709083860011081,31,10,2013,2025,0.459,0.295,-0.16400000000000003
BOYFRIEND (보이프렌드),0.005153092369477912,0.11687390171842883,0.36786502797373466,38,9,2011,2021,0.1606,0.133,-0.027599999999999986
BOYS PLANET (보이즈 플래닛),0.040321878121878124,0.5893773618998186,0.23229083508152726,52,4,2023,2026,0.37247619047619046,0.46728571428571425,0.09480952380952379
BOYS24 (소년24),0.0990427927927928,0.6800860965930915,0.08577115114144711,14,5,2015,2020,0.358,0.847,0.489
BTOB (비투비),0.015453974760358686,0.38319512888135354,0.013870835467981527,116,15,2011,2025,0.025,0.3905,0.3655
BTS,0.04230790016513701,0.7007589335668989,0.0006823105731150486,231,12,2013,2024,0.3159090909090909,0.7895,0.47359090909090906
BVNDIT (밴디트),-0.005225000000000002,0.01125047391021257,0.8652033671800182,14,5,2019,2023,0.43900000000000006,0.4355,-0.0035000000000000586
Baby Soul,0.0024086538461538455,0.012376584738933,0.8338132982193006,10,6,2011,2021,0.129,0.181,0.05199999999999999
Baek A Yeon (백아연),-0.004965701219512195,0.0238697059887762,0.7408347277948499,11,7,2011,2022,0.271,0.262,-0.009000000000000008
Bang Yedam (방예담),-0.003333333333333331,0.0016070580704809052,0.9599118712025505,13,4,2020,2025,0.173,0.017,-0.15599999999999997
Beenzino (빈지노),0.025686923963133632,0.32830975394095085,0.17874621709975375,16,7,2014,2023,0.3285,0.44,0.11149999999999999
Berry Good (베리굿),-0.008365513928914502,0.039824843282514504,0.5804326403656951,17,10,2014,2025,0.287,0.139,-0.14799999999999996
Billlie (빌리),-0.07333333333333336,0.47099830971508816,0.5184734179959863,27,3,2021,2023,0.48900000000000005,0.3423333333333333,-0.14666666666666672
Block B (블락비),-0.0017373104549082202,0.0063847155440881825,0.7952617221857627,60,13,2011,2025,0.2755,0.2485,-0.027000000000000024
BoA (보아),-0.01196205808477237,0.08974252286312358,0.29809339645537397,94,14,2011,2024,0.456,0.201,-0.255
Brave Girls (브레이브걸스),-0.004301077097505668,0.02921049881908977,0.6857280655556592,25,8,2012,2022,0.45366666666666666,0.34575,-0.10791666666666666
Brown Eyed Girls (브라운아이드걸스),0.02035904411764706,0.19613408040636127,0.0858057614336118,68,16,2010,2025,0.028,1.0,0.972
Busters (버스터즈),0.0012138157894736792,0.0003889746545717482,0.9665246567345579,10,7,2013,2021,0.442,0.363,-0.07900000000000001
C-Clown (씨클라운),-0.01327280618686869,0.4603393912337091,0.09380965440819995,17,7,2012,2024,0.28833333333333333,0.122,-0.16633333333333333
C-REAL (씨리얼),0.0189310606060606,0.6607315075133458,0.18714607246237297,12,4,2011,2024,0.327,0.498,0.17099999999999999
CIX (씨아이엑스),0.0008859577922077941,0.0009981929573862735,0.9463907996173111,56,7,2019,2025,0.4132727272727273,0.4366666666666667,0.02339393939393941
CL (씨엘),-0.011658360128617363,0.06850278610590343,0.5707338721465727,23,7,2013,2023,0.2775,0.344,0.06649999999999995
CLC (씨엘씨),0.04875041852678571,0.4008407331146892,0.036529357028766,48,11,2011,2024,0.409,1.0,0.591
CNBLUE (씨엔블루/シーエヌブルー),-0.02920287122969838,0.49203782383149214,0.023786929282942407,33,10,2010,2023,0.627,0.117,-0.51
CO-ED SCHOOL (남녀공학),-0.00668385051718385,0.12779397414285015,0.384635572478645,22,8,2010,2021,0.066,0.0,-0.066
CRAVITY (크래비티),0.00017668128654969615,2.6347447448721992e-05,0.990375838167143,88,8,2018,2026,0.657,0.6101666666666666,-0.04683333333333339
CROSS GENE (크로스 진),-0.007592017368069471,0.026956503501886386,0.6729490557070996,12,9,2011,2022,0.202,0.353,0.15099999999999997
Cheetah (치타),0.020997023809523806,0.2239883404256188,0.23621677112947037,11,8,2014,2021,0.192,0.257,0.065
Cherry Bullet (체리블렛),0.0615,0.9600545230250633,0.003429862778052674,22,5,2019,2023,0.2255,0.45199999999999996,0.22649999999999995
Chungha (청하),0.04397762578196221,0.4046931654130602,0.03536599386153726,70,11,2012,2025,0.15766666666666668,0.796,0.6383333333333334
Chuu (츄),0.018744926470588234,0.11899026334185316,0.36327795367680765,38,9,2017,2026,0.3925,0.417,0.024499999999999966
Cosmic Girls (WJSN/우주소녀),0.034686657642572866,0.6643938408523941,0.007430592409318854,84,9,2012,2022,0.068,0.4086,0.3406
Crush (크러쉬),0.002012269433465082,0.0014264434643183471,0.9072311558090149,36,12,2011,2024,0.538,0.516,-0.02200000000000002
D-Crunch (디크런치),0.06558928571428571,0.5025158836953936,0.29111645265573144,18,4,2020,2025,0.383625,0.607,0.223375
D-Unit (디유닛),0.010558673693456297,0.20507403201845517,0.4437750308349794,18,5,2012,2024,0.4434,0.583,0.13959999999999995
DAY6 (데이식스),0.005593631702080982,0.1347889075992066,0.1966034935980534,148,14,2011,2026,0.107,0.1882857142857143,0.08128571428571431
DEAN/DΞΔN (딘),0.044204145728643215,0.8221383588467593,0.004851632580386292,13,7,2011,2024,0.0,0.6125,0.6125
DIA (다이아),-0.003991833333333332,0.0455786283268184,0.5812609462350677,56,9,2012,2024,0.0455,0.037,-0.0085
DKB (다크비),-0.011503333333333332,0.27804103120823176,0.4727040383160215,10,4,2013,2022,0.357,0.175,-0.182
DKZ/DONGKIZ (동키즈),-0.14587500000000003,0.9513684429165009,0.14155453464787668,14,3,2020,2022,0.49650000000000005,0.20475,-0.29175000000000006
DRIPPIN (드리핀),0.10647546897546899,0.8473277631865636,0.00922821045032226,45,6,2019,2024,0.0,0.4841666666666667,0.4841666666666667
Dalshabet (달샤벳),-0.02059705513784461,0.40918593191126196,0.0876263081428398,37,8,2011,2022,0.5436666666666666,0.179,-0.36466666666666664
Dalmatian (DMTN/달마시안),-0.029205000000000002,0.05050425418637881,0.7752684842164348,11,4,2010,2013,0.269,0.165,-0.10400000000000001
Davichi (다비치),0.018337346160047292,0.2055848573196728,0.3664855988269666,34,6,2011,2023,0.0,0.0,0.0
