artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
ATEEZ (에이티즈),0.03716682988751423,0.5009006955045615,0.02203030318165181,112,10,2013,2026,0.285,1.0,0.7150000000000001
After School (애프터스쿨),-0.001626916972542102,0.02659589833523823,0.7268094690629491,51,7,2011,2024,0.3564615384615385,0.31074999999999997,-0.045711538461538526
Ailee (에일리),0.007602243589743588,0.031432550350404785,0.5622864751647253,54,13,2012,2024,0.23675000000000002,0.0315,-0.20525000000000002
AleXa (알렉사),0.11252500000000001,0.5762211990741893,0.24090764786213964,17,4,2019,2022,0.599,1.0,0.401
Apink (에이핑크),0.010088893769629062,0.13044327799295727,0.1859584343229968,129,15,2011,2025,0.2458888888888889,0.0495,-0.1963888888888889
B.A.P (비에이피),0.006374224887427325,0.048257070924958345,0.4708328701780662,80,13,2011,2024,0.458,0.265,-0.193
B1A4 (비원에이포),-0.019076403432228037,0.3648486345843991,0.028796182376510087,77,13,2011,2024,0.40655555555555556,0.315,-0.09155555555555556
BAE173 (비에이이173),0.16241666666666668,0.8330920619194903,0.26792648673274755,15,3,2020,2022,0.27999999999999997,0.6048333333333333,0.32483333333333336
BDC (비디씨),0.005230303030303041,0.002093599810095181,0.95424412813534,19,4,2019,2022,0.006,0.031,0.025
BIGBANG (빅뱅),-0.015059342842899334,0.18885839345270564,0.1378248622277265,114,13,2010,2024,0.5833333333333334,0.11175,-0.47158333333333335
BLACKPINK (블랙핑크),0.053405967641889804,0.7327217332744871,0.00038106542626543006,80,12,2012,2025,0.197,0.9366111111111112,0.7396111111111112
BLACKSWAN (블랙스완),0.05932499999999999,0.2619419731114421,0.378039654390815,15,5,2020,2024,0.621,0.8082499999999999,0.18724999999999992
BOL4/Bolbbalgan4(볼빨간사춘기),-0.0057178212338104975,0.02076163156927723,0.6912682156121333,31,10,2013,2025,0.5,0.306,-0.194
BOYFRIEND (보이프렌드),0.003961199082042455,0.06540574495020765,0.5065673765591063,38,9,2011,2021,0.1856,0.143,-0.0426
BOYS PLANET (보이즈 플래닛),0.039305294705294716,0.6276349995317364,0.2077658177459544,52,4,2023,2026,0.39599999999999996,0.4882857142857143,0.09228571428571436
BOYS24 (소년24),0.10624774774774776,0.7559831896565524,0.05548729309221016,14,5,2015,2020,0.363,0.88,0.517
BTOB (비투비),0.016440883387445884,0.39856913918560405,0.011598017118551438,116,15,2011,2025,0.025,0.42200000000000004,0.397
BTS,0.04167633601778339,0.7090156494130824,0.0005904846590056429,231,12,2013,2024,0.3230909090909091,0.796,0.47290909090909095
BVNDIT (밴디트),0.0016999999999999793,0.0012893899713121576,0.9542902437507081,14,5,2019,2023,0.454,0.477,0.022999999999999965
Baby Soul,0.003788461538461538,0.02814107919396316,0.7507308301206226,10,6,2011,2021,0.136,0.205,0.06899999999999998
Baek A Yeon (백아연),-0.005306402439024391,0.024723539606456887,0.7363533302277141,11,7,2011,2022,0.279,0.262,-0.017000000000000015
